event_id,prob_12h,prob_24h,prob_48h,prob_72h
10662602,0.0,0.0,0.0,1.0
13353600,0.6081728673769126,0.9077585221461306,0.9691371533213408,1.0
13942327,0.0,0.0,0.0,1.0
16112781,0.6373049063163225,0.908292009224009,0.9693547862544054,1.0
17132808,0.0,0.0,0.0,1.0
17445696,0.0,0.0,0.0,1.0
17599982,0.0,0.0,0.0,1.0
18750374,0.6143206444183847,0.8957647286321145,0.9737518423861442,1.0
21365245,0.0,0.0,0.0,1.0
23634840,0.5369213014005105,0.8459001170280559,0.94,1.0
24461897,0.0,0.0,0.0,1.0
25353357,0.0,0.0,0.0,1.0
27052376,0.9580777673468237,0.9851744341432337,0.995,1.0
29312582,0.0,0.0,0.0,1.0
30451420,0.0,0.0,0.0,1.0
31488932,0.0,0.0,0.0,1.0
33717208,0.0,0.0,0.0,1.0
34826241,0.0,0.0,0.0,1.0
35311039,0.9750261726754921,0.9883421520882605,0.995,1.0
36423390,0.0,0.0,0.0,1.0
37196135,0.6120376679165692,0.912367594845202,0.9743375427527038,1.0
37355453,0.0,0.0,0.0,1.0
37536067,0.6493414582580086,0.9255753917753943,0.9790977852611059,1.0
39717591,0.0,0.0,0.0,1.0
40833127,0.0,0.0,0.0,1.0
41907240,0.6268882196836133,0.9026577171274837,0.9729694181053802,1.0
42963675,0.0,0.0,0.0,1.0
42997746,0.0,0.0,0.0,1.0
43341281,0.0,0.0,0.0,1.0
43371713,0.40401262113681197,0.7774039313058374,0.9131570305519439,1.0
44872967,0.31665196067949597,0.7018665624670266,0.8496774239580629,1.0
46574754,0.6287400162994721,0.9023074538807204,0.9698007274215323,1.0
46767506,0.5854467880006468,0.9091034558116233,0.9708094216524956,1.0
49169401,0.0,0.0,0.0,1.0
49502022,0.0,0.0,0.0,1.0
49565135,0.9706287076384021,0.9882715890037438,0.995,1.0
50233410,0.7144736907178192,0.9156421562515297,0.9747205313909022,1.0
50541231,0.0,0.0,0.0,1.0
51664538,0.0,0.0,0.0,1.0
52004768,0.0,0.0,0.0,1.0
52039660,0.0,0.0,0.0,1.0
52614032,0.0,0.0,0.0,1.0
53407288,0.0,0.0,0.0,1.0
53799231,0.0,0.0,0.0,1.0
54348573,0.0,0.0,0.0,1.0
54459140,0.0,0.0,0.0,1.0
54759639,0.0,0.0,0.0,1.0
54801108,0.8786089728515605,0.9562077344176608,0.995,1.0
55504460,0.8686412264336202,0.9532936098857712,0.995,1.0
58802003,0.0,0.0,0.0,1.0
58854430,0.0,0.0,0.0,1.0
59191113,0.0,0.0,0.0,1.0
59221605,0.4361678288390191,0.856245777215999,0.9453494252982105,1.0
60804856,0.9536596148086314,0.9820278044383635,0.995,1.0
61713947,0.0,0.0,0.0,1.0
62129708,0.839404846407821,0.947918733499968,0.995,1.0
66849621,0.948241251326096,0.9587148154885914,0.995,1.0
67124529,0.0,0.0,0.0,1.0
69348035,0.0,0.0,0.0,1.0
69572379,0.0,0.0,0.0,1.0
69836438,0.0,0.0,0.0,1.0
70283101,0.6875680320317215,0.9202172540921166,0.995,1.0
70501603,0.41737045803978107,0.8489433165879317,0.9430913741092,1.0
70993222,0.0,0.0,0.0,1.0
71474230,0.5697705555352849,0.8778198846196617,0.9527113993749328,1.0
71532972,0.0,0.0,0.0,1.0
72973561,0.0,0.0,0.0,1.0
73023698,0.0,0.0,0.0,1.0
74751606,0.0,0.0,0.0,1.0
74945408,0.2972665161856483,0.82,0.94,1.0
75012237,0.8815969125215382,0.9597222117889378,0.995,1.0
75726601,0.0,0.0,0.0,1.0
78173856,0.0,0.0,0.0,1.0
78227688,0.0,0.0,0.0,1.0
78266693,0.0,0.0,0.0,1.0
78502343,0.0,0.0,0.0,1.0
78780565,0.0,0.0,0.0,1.0
80446138,0.0,0.0,0.0,1.0
80819726,0.0,0.0,0.0,1.0
81010506,0.0,0.0,0.0,1.0
81611002,0.0,0.0,0.0,1.0
81715663,0.4106883181959931,0.800776905425447,0.9220639328135959,1.0
82779392,0.0,0.0,0.0,1.0
83261710,0.0,0.0,0.0,1.0
84903193,0.0,0.0,0.0,1.0
87245976,0.0,0.0,0.0,1.0
87273546,0.0,0.0,0.0,1.0
89909836,0.0,0.0,0.0,1.0
91234126,0.0,0.0,0.0,1.0
93027270,0.5688018647960931,0.8861326825024092,0.9576070371199549,1.0
94627327,0.0,0.0,0.0,1.0
96570675,0.0,0.0,0.0,1.0
97225766,0.0,0.0,0.0,1.0
98446281,0.0,0.0,0.0,1.0
99649465,0.0,0.0,0.0,1.0
